W1,W2,len,split
emocion,amacico,3,train
recolectar,abernecido,3,train
esquela,asonrio,3,train
felino,embaze,3,train
rango,gater,3,train
accionar,malmitan,3,train
cancela,pordier,3,train
aun,aga,3,train
hinchar,sofatre,3,train
diametro,inruntia,3,train
punto,ruiga,3,train
llana,niblo,3,train
repostar,alzarape,3,train
viatico,mucillo,3,train
tuno,mado,3,train
frenetico,adrantico,3,train
grosera,feivera,3,train
colonizar,lexasonal,3,train
sancocho,casarepo,3,train
infligir,alganjar,3,train
roca,anar,3,train
entregado,ivauzabal,3,train
genocidio,tandrisno,3,train
grano,trico,3,train
ruisenor,cosatido,3,train
pelvis,sivito,3,train
fugitiva,tansanza,3,train
ciguena,vifiaco,3,train
origen,taldud,3,train
saxofon,pasquaz,3,train
destino,mubrera,3,train
provincia,plesviero,3,train
cerebelo,ecocalio,3,train
atavismo,porhotio,3,train
aluminio,kanapito,3,train
carnivora,demacante,3,train
peor,edma,3,train
pinta,yadra,3,train
opulento,navitano,3,train
inminencia,salibalira,3,train
ronda,atuva,3,train
ingenio,falopyn,3,train
retorcer,pravaria,3,train
colar,rurzo,3,train
hucha,bapia,3,train
pletora,somente,3,train
semita,arpano,3,train
alteracion,espicitoce,3,train
emparejar,inquecina,3,train
puntilla,baconavo,3,train
teologia,melioleo,3,train
aliar,endre,3,train
tendon,puecho,3,train
postrer,quenqui,3,train
veloz,cafar,3,train
barricada,rovirrudo,3,train
erario,hestal,3,train
bengala,vacedor,3,train
desnudo,socesor,3,train
simon,henio,3,train
pocho,mindo,3,train
mordaza,adulaja,3,train
repelente,nuepologa,3,train
clinica,asarpan,3,train
chichon,repiara,3,train
belicista,coacirzar,3,train
marana,muvila,3,train
nava,hiro,3,train
islena,cijila,3,train
boicoteo,agrander,3,train
lagartija,asbentita,3,train
botero,meuses,3,train
curtidor,desoncia,3,train
graderia,tuncador,3,train
ceda,dajo,3,train
montanesa,trasmucer,3,train
superponer,grivantino,3,train
actual,jachar,3,train
mareo,llaro,3,train
olfatear,cliasula,3,train
cilicio,rivante,3,train
profecia,lanonesa,3,train
bisuteria,desradido,3,train
erratico,micavoso,3,train
perfil,savado,3,train
coercitivo,prodramita,3,train
inducir,fercado,3,train
aragon,cazija,3,train
trotar,mitura,3,train
orin,ajel,3,train
reseco,bimona,3,train
rellano,diltilo,3,train
mora,maru,3,train
infante,nidrilo,3,train
hablador,puflunar,3,train
valle,bemel,3,train
paleoceno,imbavible,3,train
baloncesto,manronador,3,train
montanoso,gramonado,3,train
eden,azel,3,train
noble,chajo,3,train
ilicitana,pastomisa,3,train
foton,meler,3,train
butron,trinte,3,train
expensas,tildonga,3,train
corazonada,enlurenedo,3,train
cerca,donta,3,train
modulo,ruesta,3,train
longa,darci,3,train
apero,sugla,3,train
homonimo,renegnar,3,train
siderurgia,interjilto,3,train
claro,cruso,3,train
sansa,trupo,3,train
falto,bucar,3,train
oido,hime,3,train
animalidad,incestopsa,3,train
demagogica,anfipruena,3,train
naturista,joquitero,3,train
resultado,linvitica,3,train
exposicion,migromerro,3,train
marine,taquel,3,train
colegio,lanalla,3,train
agasajo,resozon,3,train
hertz,crupo,3,train
comienzo,calmizal,3,train
farmacopea,detofracia,3,train
ahogar,martar,3,train
jilguero,duvanita,3,train
rosa,ayes,3,train
raso,cury,3,train
cigoto,dafita,3,train
acosador,carronso,3,train
indecible,prebostar,3,train
espantar,zacojina,3,train
zonza,rabro,3,train
belcebu,biceria,3,train
liderato,aperecir,3,train
cacique,faudeja,3,train
cueva,crega,3,train
hija,diro,3,train
canaria,masatun,3,train
remera,setuir,3,train
reveladora,asostotico,3,train
carrera,carsina,3,train
bela,beve,3,train
agudamente,adnerbente,3,train
introducir,estifendia,3,train
mapamundi,emnalsado,3,train
carrona,binoteo,3,train
solar,teque,3,train
desvelar,casatoga,3,train
chiquita,bocatijo,3,train
silueta,menonul,3,train
merced,ahuima,3,train
gastar,rozgar,3,train
aura,anol,3,train
torpeza,faceote,3,train
asiduo,cloteo,3,train
victoriosa,extilvable,3,train
trapecista,raviosepal,3,train
mantero,queldes,3,train
chapin,sherip,3,train
acudir,airbaf,3,train
detective,arcapapha,3,train
andino,cazulo,3,train
decorado,capasimo,3,train
toreo,dotma,3,train
hipotenusa,dedocucion,3,train
podium,civolo,3,train
ibero,nadra,3,train
alli,crun,3,train
avivar,mardas,3,train
sur,ece,3,train
preboste,demblina,3,train
morera,emeico,3,train
flamenco,fricinar,3,train
disimular,hocichero,3,train
planilla,ispocuto,3,train
estera,pulmar,3,train
bizarria,hoquiada,3,train
carromato,palvapeda,3,train
sexo,hejo,3,train
repunte,naceoto,3,train
llanura,pediero,3,train
tau,wep,3,train
gula,boho,3,train
narracion,palmision,3,train
intimista,rovotivar,3,train
desocupado,atucarrado,3,train
motilidad,femblilla,3,train
quesera,impuaco,3,train
vespertino,perebrante,3,train
amodorrado,inmaniscio,3,train
